nombre;referencia;codigo_barras;invima;cum;codigo_producto_dian;existencias;impuesto;precioventa_con_impuesto;precio_venta_base;precio_venta_minimo;descuento_maximo_ps;precio_compra;precio_compraipm;total_impoconsumo;total_estampilla;icui;ibua;costo;stock_minino;es_ingrediente;manejo_bascula;vender_solo_existencia;realizar_pedido_solo_existencia;utilidad;mostrar_tienda;categoria;marca;codigo_cuenta;precio1;precio2;precio3;precio4;ubicacion;proveedor;nit_proveedor;url_imagen;nota;tipo_producto
CARGADOR V8 3.1;;;;;;1000;0;7188;7188;0;0;6666.666667;6666.666667;0;0;0;0;6666.666667;5;;;;1;7.252828789;TRUE;ACCESORIOS;GENERICA;;15583.33333;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR V8 5A;;;;;;1000;0;10781;10781;0;0;10000;10000;0;0;0;0;10000;5;;;;1;7.244225953;TRUE;ACCESORIOS;GENERICA;;19125;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR XIAOMI 27W USB TC;;;;;;999;0;9823;9823;0;0;9111.111111;9111.111111;0;0;0;0;9111.111111;5;;;;1;7.247163686;TRUE;ACCESORIOS;GENERICA;;18180.55556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR XIAOMI 33W;;;;;;1072;0;13177;13177;0;0;12100;12100;0;0;0;0;12100;5;;;;1;8.173332321;TRUE;ACCESORIOS;GENERICA;;21486.11111;0;0;0;;ORMI;43445;;;Estandar
CARGADOR XIAOMI 33W T.C;;;;;;1046;0;14375;14375;0;0;11000;11000;0;0;0;0;11000;5;;;;1;23.47826087;TRUE;ACCESORIOS;GENERICA;;22666.66667;0;0;0;;KINOTEC MEDELLIN;;;;Estandar
CARGADOR XIAOMI 67W;;;;;;1099;0;27552;27552;0;0;12000;12000;0;0;0;0;12000;5;;;;1;56.44599303;TRUE;ACCESORIOS;GENERICA;;35652.77778;0;0;0;;NAISU;8754;;;Estandar
CARGADOR XIAOMO 67W USB V8;;;;;;988;0;13536;13536;0;0;12555.55556;12555.55556;0;0;0;0;12555.55556;5;;;;1;7.243236144;TRUE;ACCESORIOS;GENERICA;;21840.27778;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CONVERTIDOR PLUG TC;;;;;;1000;0;5510;5510;0;0;5111.111111;5111.111111;0;0;0;0;5111.111111;5;;;;1;7.239362775;TRUE;ACCESORIOS;GENERICA;;13930.55556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CONVERTIDOR V8;;;;;;1000;0;1557;1557;0;0;1444.444444;1444.444444;0;0;0;0;1444.444444;5;;;;1;7.229001642;TRUE;ACCESORIOS;GENERICA;;10034.72222;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
FORRO ACRIGEL A25;;;;;;1320;0;4193;4193;0;0;3300;3300;0;0;0;0;3300;5;;;;1;21.29740043;TRUE;ACCESORIOS;GENERICA;;12631.94444;0;0;0;;VOLTEX;88855;;;Estandar
