nombre;referencia;codigo_barras;invima;cum;codigo_producto_dian;existencias;impuesto;precioventa_con_impuesto;precio_venta_base;precio_venta_minimo;descuento_maximo_ps;precio_compra;precio_compraipm;total_impoconsumo;total_estampilla;icui;IBUA;costo;stock_minimo;es_ingrediente;manejo_bascula;vender_solo_existencia;realizar_pedido_solo_existencia;utilidad;mostrar_tienda;categoria;marca;codigo_cuenta;precio1;precio2;precio3;precio4;ubicacion;proveedor;nit_proveedor;url_imagen;nota;tipo_producto
CARGADOR CD 322 TPC;;;;;;852;0;5990;5989.583333;0;0;5555.555556;5555.555556;0;0;0;0;5555.555556;5;FALSE;FALSE;FALSE;1;7.246376811;TRUE;ACCESORIOS;GENERICA;;14402.77778;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CD 322 V8;;;;;;856;0;5391;5390.625;0;0;5000;5000;0;0;0;0;5000;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;13812.5;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CD 322 V8;;;;;;985;0;5510;5510.416667;0;0;5111.111111;5111.111111;0;0;0;0;5111.111111;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;13930.55556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CD 370 TC;;;;;;950;0;9104;9104.166667;0;0;8444.444444;8444.444444;0;0;0;0;8444.444444;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;17472.22222;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CD 370 V8;;;;;;967;0;8505;8505.208333;0;0;7888.888889;7888.888889;0;0;0;0;7888.888889;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;16881.94444;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CD 371 TC;;;;;;997;0;7906;7906.25;0;0;7333.333333;7333.333333;0;0;0;0;7333.333333;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;16291.66667;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CDR 302 TC;;;;;;963;0;7097;7096.774194;0;0;6600;6600;0;0;0;0;6600;5;FALSE;FALSE;FALSE;1;7;TRUE;ACCESORIOS;GENERICA;;15701.38889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CDR 302 TPC;;;;;;977;0;7188;7187.5;0;0;6666.666667;6666.666667;0;0;0;0;6666.666667;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;15583.33333;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CDR 302 V8;;;;;;1353;0;6505;6505.376344;0;0;6050;6050;0;0;0;0;6050;5;FALSE;FALSE;FALSE;1;7;TRUE;ACCESORIOS;GENERICA;;14993.05556;0;0;0;;HARVIC;3.33E+11;;;Estandar
CARGADOR CDR 302 V8;;;;;;993;0;6708;6708.333333;0;0;6222.222222;6222.222222;0;0;0;0;6222.222222;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;15111.11111;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
